Crop_fr,Crop_en,Crop_family,Latin_name,Crop_type_Pennington_2009,Crop_type_RP,Crop_function_CTIFL
Romarin,Rosemary ,Lamiaceae,Rosmarinus officinalis,,"Medicinal, Aromatic Plants, Flowers & Others",
Citron jambhiri,Rough lemon,Rutaceae,Citrus jambhiri Lush.,,,
Hévéa,Rubber,Euphorbiaceae,Hevea brasiliensis,,Trees (woody perennials),
Rue,Rue,Rutaceae,Ruta graveolens L.,,"Medicinal, Aromatic Plants, Flowers & Others",
Rutabaga,Rutabaga / Swede,Brassicaceae,Brassica napus subsp. rapifera,Vegetable,Vegetables,Root vegetables
Seigle,Rye,Poaceae,Secale cereale L.,,Cereals,
Basilic,Sacred_basil,Lamiaceae,Ocimum tenuiflorum,,"Medicinal, Aromatic Plants, Flowers & Others",
NA,Safed musli,Asparagaceae,Chlorophytum borivilianum,,Vegetables,
Safran,Saffron,Iridaceae,Crocus sativus L.,,"Medicinal, Aromatic Plants, Flowers & Others",
Sauge,Salvia,Lamiaceae,Salvia officinalis L.,,"Medicinal, Aromatic Plants, Flowers & Others",
Sapotillier,Sapota,Sapotaceae,Manilkara zapota L. P. Royen,,Fruits,
Sarriette,Savory,Lamiaceae,Satureja,,"Medicinal, Aromatic Plants, Flowers & Others",
Choux de Milan,Savoy cabbage,Brassicaceae,Brassica oleracea var. sabauda L.,,Vegetables,
Cébette,Scallion,Alliaceae,Allium fistulosum L.,Vegetable,Vegetables,
Scorsonère,Scorzonera,Asteraceae,Scorzonera hispanica L.,,"Medicinal, Aromatic Plants, Flowers & Others",
Echalote,Shallot,Alliaceae,Allium cepa var. aggregatum,Vegetable,Vegetables,Root vegetables
Haricot à ecosser et demi-secs ,Shelling bean,Fabaceae,Phaseolus vulgaris,Vegetable,Vegetables,Leguminous vegetables
,Siamese cassia,Fabaceae,Senna siamea (Lam.) Irwin & Barneby,,,
Pois gourmand,Snow pea,Fabaceae,Pisum sativum var. saccharatum,Vegetable,Vegetables,Leguminous vegetables
Sorgho,Sorghum,Poaceae,Sorghum bicolor L. Moench,,Cereals,
